Date	Rev	sentiment	
11-May-16	amaze get listen jam thing dont like ad disrupt music live	0.136363636	
30-Apr-15	pandora phone fire tv stick kindle use everywhere use phone travel avoid find good radio station use fire tv stick im clean cook use sleep timer kindle play one sleep station help fall asleep quickly best thing since ipod	0.688888889	
28-Dec-14	im sorry recommend iheart radio much better pandora always freeze want hear song advertisement pop end click instead thump iheart radio simple easy choice	0.108333333	
26-May-16	far im happy brand new hold give star ive chance really use	0.309090909	
9-Dec-16	enjoy music much would recommend pandora music lover great	0.466666667	
30-Dec-15	good app cant get profile picture anybody know show facebook thing everytime log still wont let	0.7	
6-Feb-16	listen regular basis perfect cant beat price free couple second commercial every hour problem	0.28	
21-Jun-17	love ability create channel	0.5	
25-Jun-17	good mix music limit commercial	0.35	
22-Jul-17	love	0.5	
4-Aug-17	love	0.5	
31-Dec-16	love choice continuously play station love without interruption	0.5	
31-Dec-13	pandora first app new kindle fire hd absloutely love awesome music awesome choice	0.577272727	
28-Dec-14	get start pandora far really like scratch surface get ihome wireless speaker kindle fire hdx music like wherever like commercial terribly annoyin	-0.175	
5-Feb-14	pandora user quite time use computer home office appreciate fact input artist style music prefer something play would rather listen input fact listen playlist randomly select particular artiststyle play recently upgrade kindle fire hdx play music im read anything else may kindle try several downloadable music site find pandora versatile greatest choice music well easiest use	0.133333333	
1-Jan-15	awesome	1	
16-Aug-17	love hear favorite tune	0.5	
4-Feb-13	panadora one favorite free apps use app time work love variety music free download kindle son love music listen kindle well pop hip hop power workout station playin oldie sure issue love pandora	0.471428571	
10-Nov-15	pandora great app music play upside create list want side enough different music add select playlist type	0.266666667	
13-Sep-13	really great sound concept start station keep add genre song tire genre start another station keep build tomorrow want maybe something different start another station start old one thumb song dont want go thumb tweak selection future song great deal advertisement definitely recommend	0.3	
16-Feb-16	like service find app intuitive term use perhaps link instruction best set channel would helpful	1	
10-Dec-12	guess thats point free versus subscription service commercial become frequent intrusive use quick announcerbased commercial full blow professionally produce commercial like would hear commercial radio irritate say least	0.098333333	
16-May-17	love	0.5	
2-Jun-16	good	0.7	
25-Apr-16	every song choose radio artistis awesomeits great hear song remember rockin young personand fun listen	0.4	
22-Oct-13	pandora iphone laptop love listen want im cook dinner great app	0.65	
3-Dec-16	first didnt work right cork leave bottle however work perfectly love	0.345238095	
24-Aug-13	ive app week already problem work like charm exactly one week refuse load blue pandora screen completely remove delete purchase download thing next day hope bug work love pandora	0.17	
31-Jan-16	reinstall pandora several different time kindle fire still cannot get play whether bluetooth trick	0	
20-Jul-16	use pandora radio year love station create im always surprise song choice suggest hide treasure forget favorite	0.5	
15-Dec-16	enjoy selection music gendra turn pandora listen day music	0.4	
14-Jan-13	use app time work great phone tablet cant live without easy install free	0.442424242	
17-Nov-12	pandora app best love music simply want relaxation music want get dance pandora sound kindle fire hd simply knock cannot believe sound come thin piece amazement truly recommend get full version app much totally worth thank pandora amazoncom	0.283333333	
29-Mar-13	free version every ask still listen andor hear ad dont find annoy enough upgrade pay monthly genre pick tend play song many option choose change genre play change song whenever want cant beat free	0.325	
3-Jun-16	good app	0.7	
6-Feb-15	work expect	0	
18-May-16	absolutely love pandora constantly play home time houseworkand play work	0.25	
19-Sep-16	listen pandora fr year mix great approximately channel define	0.2	
26-May-16	love get listen whatever want whenever want music quality good want make pandora excellent	0.733333333	
1-Aug-15	stop work immediately call pandora next use equal one song time screw way long change different stream program waste time	-0.05	
31-Jan-13	well cant go wrong pandora first place awesome music lyric sing easy use	0.286666667	
1-Aug-15	able pick station favorite music mean little dislike though pandora limit number piece skip ad unless pay avoid	0.125	
27-Sep-17	love listen day work make day whole lot easier	0.35	
23-May-17	want cancel subscription stop payment wont let	0	
20-Mar-13	app always make advance internet radio doesnt disappoint rare issue app connection long good wifi connection course set channel listen everything rock classical comedy bite excellent app everyone opinion	0.39	
29-Nov-16	love use pandora great variety able even hook cable box	0.6	
10-Mar-16	really wonderful adapt play music like problem load problem take long time start next song	0.316666667	
29-Jan-17	big fan pandora listen often app work welland free	0.2	
23-Jan-17	fun create station pandora well select tune	0.3	
1-Jan-17	app instal daughter new fire hd like much	0.168181818	
5-Jan-17	love pandora hate still listen ad cheap upgrade oh well	0.033333333	
24-Aug-14	music want hearfree	0	
23-Jan-14	apply pandora really like plan utilize item great extent	0.5	
8-Jan-14	always enjoy pandora mini bose blue tooth speaker even better listen tall favorite channel home work premium pandora commercial wonderful mozart joe walsh muddy water way listen uninterpreted music day long	0.335714286	
20-Feb-16	love pandora best next amazon music use time help clean keep go wide variety music	0.353333333	
22-Nov-16	four star advertise would better without ad charge remove	0.5	
15-Nov-15	pandora overall great listen station mean cant get better free even better every device link one account share station one thing say ad come every song consider fact ad play time get quite irritate great app though	0.383928571	
22-Oct-15	dont get something nothing work ive read enable personal information send company habit contact picture etc take	0	
27-Feb-14	awesome app really wish kindle version didnt take sleep timer though miss feature cant fall asleep music anymore wake turn sigh love everything else music everything breathe pandora almost always play mood	0.566666667	
18-Jul-17	love pandora would change anything unless better	0.5	
16-Apr-14	enjoy variety easy use carry help keep work thank	0.416666667	
3-Nov-15	last update allow stop play music stop play skip song like dislike unless inside app plus stop play randomely	0	
18-Jul-17	dont know would except account	0	
24-Aug-17	good	0.7	
7-Apr-15	pandora awesome free music type song album artist get plus similar music free use moon hooch mickey avalon radio better radio satellite youtube music	0.46	
25-Feb-15	app mean open direct link pandora account doesnt anything else doesnt could accomplish effect create short cut find slightly convenient	-0.075833333	
14-Jul-13	st app new kfhd love device good speaker wpandora program favorite wish audio ad app free complain go amazon kindle support figure kfhd download thats fault app please esp cost	0.447272727	
29-Aug-13	love pandora easy use work great would yell anyone ask love	0.558333333	
24-Aug-14	greatest ever	1	
17-Sep-15	really enjoy new app wife use pandora year love various category music allow play tailor towards favorite wait long	0.247727273	
1-Jan-15	love service provide super music time love dedicate station mine three main one early classical im work piano jazz im light task drive classical guitar din	0.25	
13-Sep-16	constant good music always accessible occasion make enjoyable listen day night	0.39375	
8-Apr-16	like music take phone would let turn contact mayday fix remove phone	0	
2-May-17	available south africa pity	0.15	
28-Mar-14	music great nothing life free many commercial time struggle find stop button call quit	0.425	
9-Dec-13	pandora become go place experience new music im still old school enough find artist like buy cd soon ill buy vinyl pandora app run great kindle fire find music research lay bed turn light night	0.156060606	
31-Jan-17	although basicly stay one channel awesome always play best song	0.666666667	
31-Dec-14	enjoy listen mix music happen pandora interpret like dislike easy use easy pick type music easy say dont like something introduce grate nerve	0.425	
29-Dec-16	use lot better still play good music many commercial	0.425	
7-Jan-17	guess get good may good quite difficult	0.3	
5-Sep-16	pandora use good add strict limit many song could skip whole day shove commercial throat every song there way better option	0.38	
3-Jun-16	great	0.8	
7-Dec-13	work love live apartment build neighbor say hear pandora come apt love music also use im year old find difficult listen car radio le music car radio ever like choice pandora	0.222727273	
28-Jan-14	like select song artist like listen give song ad similar thumb also listen pandora play game kindle fire thank grandson tell pandora also us show use love	0.033333333	
7-Jul-16	love app know around year decide check love customize station	0.5	
1-Apr-14	enjoy use program raise price service one kind program could develope music folk listen offen stream general music like pandora music program still free use advertise come every often	0.3625	
9-Oct-13	didnt realize much would enjoy pandora app carry kindle room room porch constant great music like tune radio really like identify artist song ive hear didnt know sing app alone make kindle worth	0.316666667	
8-Jun-13	like much little hard figure work instruction dont know fact get start really terrific music fit choice exactly know like better enjoyable kindle fire nice make good use really good sound kindle fire	0.324621212	
8-Aug-15	thank fix go back star pandora even notice comment since last update hope work fix thank bring music	0	
7-Jan-17	love far still try learn understand thing	0.3	
22-Jul-15	download pandora kindle instantly fell love work beach go app music every genre love let create station anytime pick kindle pandora	0.333333333	
31-Dec-15	favorite music app everrrrr use time litterally recommend app anyone look free good work efficient app	0.533333333	
8-Mar-16	christmas receive great gift kindle fire tablet well really nice headset recently discover pandora please site enjoy explore pandora set station future listen impress classical selection pandora know come back site see whats new	0.242045455	
5-Nov-15	listen pandora way oregon palm spring instead sirius absolutely amaze enjoyable let forget much le expensive	0.066666667	
18-Jul-17	outstanding program	0.5	
21-Jun-16	love pandora allow listen music like whether one station several station absolutely love	0.333333333	
12-Mar-16	love listen day work recently download phone pick music feel mood star	0.25	
27-Jan-16	pandora great app although prefer heart radio doesnt need wifi able create station playlist favorite music allow simply click favorite irish playlist hear favorite drink song love app	0.4125	
22-Aug-17	far good set select play	0.4	
1-Jan-14	short amount time spend pandora first time able find mess song artist enjoy need time go back couldnt find favorite christmas cd home find pleasant music listen snowy holiday complete crackle fire	0.256481481	
23-May-17	say unable play music time vary disappoint	-0.5	
20-Nov-15	live dont listen radio much wonderful determine regular song song dont want hear	0.378787879	
5-Aug-16	love love love someone else choose music pick style want hear pandora rest	0.5	
24-Mar-13	one main reason buy kindle fire could listen pandora house stereo also shop another stereo work well quite user friendly one macbook think little time learn new trick shortcut happy overall grateful get free	0.241504329	
13-Sep-16	almost anything want even mother inventionbest part mess around start play	-0.175	
6-Sep-17	avail many device good selection station easy access far problem	0.433333333	
11-Sep-17	overall great could use little material start hear several repeat	0.153125	
3-Aug-15	good music like able select favorite skip song ad loud annoy use play lullaby daughter inevitably commercial come wake	0.36	
3-Jan-15	really happy app add station shuffle couldnt easier customize music	0.8	
2-Dec-16	enjoy music create playlist station disposal love app	0.45	
16-Apr-15	awesome app free version work great dont mind commercial every see reason purchase pay version great get know similar new band relate band already know	0.448051948	
26-Dec-15	technically app amaze like music youre always busy want listen music youre something love app	0.2	
4-Sep-17	love selection music	0.5	
4-May-17	excellent music use lot	1	
9-May-14	im sorry couldnt make better doesnt think suppose want make play list artist would play one selection artist start play artist never hear ofnot longer	0	
7-Mar-14	pandora account longtime use quite download new droid xx find annoy ad number music find monthly fee avoid ad twice high past pay subscription	0.015454545	
18-Jan-13	great site extend complete information song artist unfortunetly much advertisment service excellent	0.525	
15-Oct-16	like lot lot music choice really easy use happy dont change thing	0.616666667	
18-Mar-14	awesome app purchase look music app learn check whether like song play time create individual band name folder click thumb thumb make selection individual band name folder listen learn make selection narrow music play eventually play nothing band name pick folder want narrow search even create folder specific album name band select highly recommend app	0.108571429	
16-Mar-14	service replace xm radio prefer go ad le try month free trial continue base experience far create station tune station create genre satisfactory even pay premium service le xm	-0.1	
17-Apr-14	thoroughly enjoy listen pandora listen favorite artist anytime anyplace day night great way carry favorite music anywhere get board must	0.55	
24-Jun-16	music lover pandora play great music base choice performer song play hadnt hear year	0	
22-Oct-16	pandora carry music selection like commercialsadvertisements short	0	
16-Feb-15	love	0.5	
5-Nov-14	use apollo pandora radio client blackberry playbook get use especially get advertisement pandora get good music ad work great blackberry passport highly recommend	0.415	
26-Apr-13	great app love music work great device easy use	0.633333333	
3-Jan-17	nice able choose listen	0.55	
1-Dec-12	use app device buy polaroid tablet child christmas decide open one test app doesnt work load never play music constantly change song never play delete redownloaded app thing happen open tablet christmas see work	0	
29-Jul-17	doesnt offer think would	0	
14-Jun-16	like idea select music free like album buy pandora variety outstanding	0.45	
2-Nov-17	love try time need phone easy like	0.466666667	
24-Jan-17	pandora music choice really like send bluetooth speaker	0.2	
14-Jan-14	buy read great comment every single time login keep actually try click say load wont go multiple time download work first time thing th time get	0.195714286	
14-Aug-17	great station	0.8	
18-Sep-14	big fan free radio could le commercial love customization option offer one bug fix would love see though kindle fire hd wont work apps open even silk browser perfect	0.342857143	
15-Aug-14	love variety music ability choose genre	0.5	
26-Jun-14	decide would easier take music way versus radio download free app listen night fall asleep country music already android smartphone drain battery use work fabulously	0.4	
22-Apr-13	love pandora service use across device well app need smooth kindle fire hd often wont shut become mute close cover also hamper use apps run simultaneously free trust theyll work flaw eventually get three star	0.433333333	
29-Mar-16	listen every day use alarm clock wake music	0	
18-Jul-16	love blue entertainment every night play guitar	0.25	
31-Dec-12	ecclectic taste music love budha bar station chill station well new age instrumental thing well like ambient dance electronic smooth jazz good stuff soft skill technical trainer play pandora participant break lunch class often ask music get	0.306060606	
9-Dec-14	love convenience variety wish site easier navigate however perhaps old pod player thank pandora provide best music sew room good radio reception available	0.54	
25-Nov-15	pandora awesome put device boombox love bring past music era love	0.4375	
14-Jun-15	use every day phone computer work get point ad get much briefly consider go ad free listen last year month bump month uh thank	0.133333333	
8-Jun-15	love pandora fact choose want listen subscribe commercial free music cheap price awesome satellite radio expensive dont get choose anything	0.3	
24-Jan-16	app completely useful instead go youtube search favorite song guarantee favorite song come pandora	0.433333333	
7-Nov-13	love type artist like somehow know artist like listen without many ad shuffle station listen music genre like together thing dont like play many live version song id rather hear studio version	0.409090909	
7-Jul-14	love pandora radio several radio station create change desire music ad short provide little break dont mind nothing like commercial radio announcer constant blabber constant music brief interlude	0.0390625	
16-Jun-13	fast download use right away immediately play song love new song add favorite appreciate option like dislike song pandora track kind music want listen create better playlist commercial big deal else would get great music app free	0.356552538	
19-Mar-14	love pandora customize station also make multiple station day want listen country day need little spiritual music ear dislike like song go along build playlist love app kindle	0.1625	
22-Sep-17	pandora year music pandora get	0	
17-Feb-16	still love pandora prime google play still use pandora time nice totally autopilot	0.366666667	
18-Jan-16	love pandora work home wish le commercial tad control song free real complaint	0.1125	
24-Jun-17	cant beat variety ease	0	
25-Oct-17	like play list although able pull music request	0.5	
26-Dec-16	love pandora ad pop dnt find invasive annoy	0.5	
11-Feb-17	pandora great app listen type music like love	0.65	
6-Sep-17	enjoy enjoy	0.4	
14-Feb-16	couldnt get app play kindle	0	
4-Aug-13	deserve star rat nothing like could improvement experience year yes small would recommend anyone tire hear insult intelligence commercial tire hear song play	-0.125	
2-Sep-16	free play great music tailor person preference get better	0.566666667	
13-Mar-13	love pandora find station probably wouldnt look otherwise genre compliment mood also like shuffle feature im sure want listen know something like one first apps add know one	0.416666667	
3-Mar-16	listen artist love suggestion pandora open artist would never expose otherwise	0.25	
19-Jan-16	listen cajun french music play cajun music get pick thumb thumb song like play type song	0	
12-May-16	love many different genre music also make list long time phone	0.2375	
7-Jun-16	pandora amaze music like pandora best music app get papyrus stor app stir	1	
19-Jul-16	use pandora time work radio without interference great music pick save	0.8	
13-Mar-14	love use pandora personally use kid station dont like commercial sometimes questionable strange topic kid overhear example radio kid station egg donation commercial come often spur odd question	-0.030952381	
8-Dec-16	love invest ad free version however consider	0.45	
24-Sep-17	app work well problem two thumb	0	
31-Aug-16	pandora accommodate love able design station like thank pandora	0.5	
22-Sep-17	app constantly stop restart day long	-0.025	
7-Dec-16	awesome music selection listen lot work laptop	1	
25-Jan-17	enjoy pandora laptop excite also fire	0.4	
18-Jan-17	music like make especially plus free love pandora	0.3	
1-Mar-13	great app tablet phone far best way stream music	0.633333333	
17-Jun-16	pandora great offer wide variety music love mix favorite music together set shuffle	0.425	
5-Feb-13	pandora great choose type music listen accord mood day study listen smooth jazz need inspiration listen rich mullins feel mellow listen jam taylor need lift listen big band beach boy song vary fit genre choose	0.395	
13-Jul-17	love	0.5	
31-May-17	still work figure farits nice	0.6	
2-Jan-15	great	0.8	
22-Aug-17	great song great clarity	0.8	
21-Sep-17	best internet radio	1	
17-May-16	think music free like nook unless miss something need add cart whats wrong	-0.05	
5-Feb-16	good selection song aswell similar within genre easy use excellent sound quality outshine sirius wide margin	0.405555556	
25-Sep-13	pick style music hear want want base keep reject choice pandora send song accord interest dont like next song reject wont ever play song eventually build station share music others keeper	-0.4	
26-Nov-16	work great love pandora best free music app ive find would recommend	0.675	
30-Sep-13	ability move format format nationally internationally matter second value go beyond word station format include broadcaster artist well high atop andes mountain next car buy would like make sure pandora instal	0.132	
17-Jan-13	taste music pretty diverse every genre music ive search able locate pandora would recommend anyone want music go	0.375	
24-May-17	always listen pandora home love selection	0.5	
3-May-17	wish could add music already listen	0	
8-Sep-17	love app hate pay commercial	-0.1	
24-May-16	great app limitation tend use spotify often pandora save song file	0.8	
10-Feb-17	love pandora new fire tablet use phone	0.318181818	
21-Aug-17	love app use every party	0.5	
26-Dec-16	best music option everlove itand cant beat price	1	
7-Apr-13	enjoy freedom listen music type like cellphone computer overall enjoy listen artist choose simular artist would prefer though little heavier emphasis choose artist within mix introduce pandora daughter week ago much enjoy listen experience thank	0.2025	
17-Aug-16	work great fire tv stick le complicate use pandora app tablet chromecast	0.8	
10-Aug-16	love find station mood easy use reason star instal phone sometimes kick doesnt matter im work school middle night wont use phone sudden start hear music since always volume hear phone pandora come loud fix wouldnt randomly start play would give star	0.088888889	
26-Jun-16	already love app problem keep lose signal sit spot	0.5	
27-Mar-15	ive get pandora phone tablet desktop help countless midnight shift great background clean palatial suite hey gotta do right star way	0.363095238	
4-Jun-16	pandora phone love think would get k ill idle fire since amazon music easy use	0.144444444	
3-Feb-14	app find music fit mood want strauss waltz hear waltz want easy listen thats get choose thumb piece music station give type want commercial fewer local radio station	0.208333333	
2-May-15	find fun listen use battery pretty fast though also regularly skip song dont want also sign pandora one dont know get	0.1875	
29-Mar-16	bluegrass music	0	
22-Jul-17	absolutely love music	0.5	
18-Jul-15	app amaze choose music station like free little commercial listen time im cleaningworking im board great app music	0.253125	
14-Feb-16	app doesnt work kindle fire website direct refuse work unless app instal apparently use work back day anymore	0.05	
25-Sep-15	think good way discover music may hear already youre able choose song least choose artist andor type music enjoy	0.325	
7-Dec-15	app wont work kidle fire so idk really annoy wish work load song never start play	0.2	
31-Oct-16	music fingertip enjoy music commercial thank	0.2	
15-Jul-16	like pandora wish free version allow one play greatest hit individual artist	0.466666667	
14-Mar-16	work time kindle fire get work twice part song uninstalled work great phone	0.8	
18-Jan-16	pandora deliver great quality music like able listen rate tune turn allow pandora better know like future	0.45	
19-Jun-16	pandora listen reconnected ipod sometimes get disruptive good app	0.7	
22-Mar-16	great station love fact set station variety music would recommend anyone love listen great nusic	0.65	
5-Mar-16	love pandora mix wonderful music customize many favorite introduce great new music well	0.572727273	
19-Jul-17	love choice music listen work	0.5	
8-Jun-17	great listen choose one like	0.8	
29-Apr-17	ya u need variety music comedy good app	0.7	
11-Nov-14	love keep dog kitty company two year start listen however wish album individualsome artist end several list	0.25	
10-Aug-14	great app u skip song u dont want listen u skip many u listen station ur favorite artist u want buy song take straight site u buy totally awesome love	0.583333333	
20-Dec-16	great music wish could afford upgrade enjoy commercial free radio	0.4	
13-Apr-14	absolutely love pandora radio app always find music mood channel ive create also bring new artist might hear elsewise really enjoy havent upgrade pandora one dont find ad hard deal	0.186174242	
16-Mar-17		0	
15-May-17	love pandora book	0.5	
2-Jul-17	good item	0.7	
3-Feb-16	able afford pandora one worth regular pandora frustrate listen commercial interruptionsjust opinion	0.2	
19-Feb-17	great	0.8	
26-Feb-14	enjoy diverse selection artist musician fingertip also add bonus get know new artist well love music youll love pandora repeat song ad annoy price pay freeyou always upgrade pandora one	0.384090909	
18-Jul-17	good app use	0.7	
24-Jul-13	use pandora car phone kindle read pc write well tv im watch program especially like fact select group entertainer shuffle music get variety style performer rarely feel need skip particular song	0.155555556	
25-Jul-16	find song love work home car im pandora fanatic	0.1	
19-May-15	great selection genre song like feature mix song within genre	0.8	
7-Jan-15	awesome love type songartistor movie im think play similar song usually take forever hear particular song look hear great one along way	0.369444444	
7-Oct-15	love put favorite singer genre play mixture everything love many choice set timer minute doze favorite	0.5	
26-Nov-14	love pandora love easily make station like dislike song change station bite learn play like problem far station seem lot son repeat	0.383333333	
1-Jan-14	pandora free music stream app pro con pro free music free account sign account device con take wifi cannot select individual song play cannot skip many song every hour hope help	0.34	
12-Jul-15	love pandora choose station genre enjoy station favorite artist put shuffle listen one station certain mood couldnt better	0.422857143	
27-Jul-13	pandora great app especially love music wanna listen variety music specific mood dont want bother make playlist sort pandora help type music title key word pandora churn good song youll like time	0.5	
31-Jan-14	super radio kindle fire hd pandora plethora music choice app use set alarm set station commercial love love love app issue lock havent try app phone could another matter kindle die	0.366666667	
16-Mar-16	pandora radio change lot since last use year ago im delight new look selection specific genre variety	0.045454545	
2-Jan-17	give star jave keep skip get good one	0.7	
28-Dec-16	super music lot choice dont know ever manage without	0.333333333	
29-Oct-17	nice app	0.6	
9-Aug-13	ok app use sometimes work outside sometimes reason didnt give better rat seem play song station listen southern gospel station play song hour well station listen	0.25	
7-Oct-16	great radio app love fact make sound awesome gym relax home	0.675	
2-Sep-16	like pandora variety music voice instrument take care atmosphere	0	
8-Jul-16	love pandora app cell phone think may well play kindle fire tablet	0.5	
19-Jan-14	love pandora radio pandora radio cool first listen pandora peer hear yet dont know many people dont listen	0.4	
1-Sep-17	love pandora always	0.5	
12-Jun-16	love app listen christian music pandora pick favorite artist program playlist	0.333333333	
22-Feb-16	thank wendy provide u inspiredheartfelt need support graceful transition beloved animal companion	0.7	
28-Jun-16	great app listen favorite music new hit definetly recommend app love music	0.484090909	
11-Dec-13	love pandora nice app allow access channel explore music intuitively thing terribly fond interface create new channel find music outside already define channel otherwise great app functional	0.172727273	
13-Dec-16	recently ive begin play cd pandora worse radio	-0.2	
15-Jun-16	variety cool confuse hopefully ill get use cause seem like really cool thing	0.066666667	
8-Jun-12	exceed expectation flawless install able get music channel taste bring back memory especially wop negative get	0.24	
27-Apr-14	pandora home computer go kindle fantastic love huge selection music pick absolutely nothing bad say pandora everyone get start pick music enjoy	0.2	
16-May-16	fair user friendly	0.5375	
20-Jun-17	pandora great place listen favorite music	0.65	
16-Apr-14	pandora grvat provide dont mind listenimg attost otheer artost youe choice pd time find frustrate recemtly add srtist ad lustened well over song thi station syill hear even song artist thats ridiculous	-0.333333333	
21-Nov-16	really like pandora thing would like skip available	0.3	
14-Jan-17	ok doesnt near catalog different genre spotify	0.2	
